Date,DAY,MONTH,YEAR,Open,Close
31-10-2014,31,10,2014,17208.7793,17390.51953
30-10-2014,30,10,2014,16968.14063,17195.41992
29-10-2014,29,10,2014,17005.07031,16974.31055
28-10-2014,28,10,2014,16825.18945,17005.75
27-10-2014,27,10,2014,16796.09961,16817.93945
24-10-2014,24,10,2014,16677.03906,16805.41016
23-10-2014,23,10,2014,16468.07031,16677.90039
22-10-2014,22,10,2014,16615.25977,16461.32031
21-10-2014,21,10,2014,16406.0293,16614.81055
20-10-2014,20,10,2014,16373.15039,16399.66992
17-10-2014,17,10,2014,16118.38965,16380.41016
16-10-2014,16,10,2014,16137.13965,16117.24023
15-10-2014,15,10,2014,16313.29981,16141.74023
14-10-2014,14,10,2014,16321.90039,16315.19043
13-10-2014,13,10,2014,16535.42969,16321.07031
10-10-2014,10,10,2014,16654.88086,16544.09961
09-10-2014,9,10,2014,16989.36914,16659.25
08-10-2014,8,10,2014,16718.65039,16994.2207
07-10-2014,7,10,2014,16988.25,16719.39063
06-10-2014,6,10,2014,17010.33984,16991.91016
03-10-2014,3,10,2014,16802.19922,17009.68945
02-10-2014,2,10,2014,16808.26953,16801.05078
01-10-2014,1,10,2014,17040.46094,16804.71094
30-09-2014,30,9,2014,17070.44922,17042.90039
29-09-2014,29,9,2014,17107.68945,17071.2207
26-09-2014,26,9,2014,16948.61914,17113.15039
25-09-2014,25,9,2014,17204.85938,16945.80078
24-09-2014,24,9,2014,17056.64063,17210.06055
23-09-2014,23,9,2014,17165.91016,17055.86914
22-09-2014,22,9,2014,17271.71094,17172.67969
19-09-2014,19,9,2014,17267.21094,17279.74023
18-09-2014,18,9,2014,17163.73047,17265.99023
17-09-2014,17,9,2014,17131.00977,17156.84961
16-09-2014,16,9,2014,17027.16016,17131.9707
15-09-2014,15,9,2014,16988.75977,17031.14063
12-09-2014,12,9,2014,17044.05078,16987.50977
11-09-2014,11,9,2014,17057.41016,17049
10-09-2014,10,9,2014,17016.05078,17068.71094
09-09-2014,9,9,2014,17110.39063,17013.86914
08-09-2014,8,9,2014,17131.71094,17111.41992
05-09-2014,5,9,2014,17065.89063,17137.35938
04-09-2014,4,9,2014,17083.60938,17069.58008
03-09-2014,3,9,2014,17067.24023,17078.2793
02-09-2014,2,9,2014,17097.41992,17067.56055
29-08-2014,29,8,2014,17083.41992,17098.44922
28-08-2014,28,8,2014,17119.06055,17079.57031
27-08-2014,27,8,2014,17111.0293,17122.00977
26-08-2014,26,8,2014,17079.57031,17106.69922
25-08-2014,25,8,2014,17011.81055,17076.86914
22-08-2014,22,8,2014,17038.26953,17001.2207
21-08-2014,21,8,2014,16983.88086,17039.49023
20-08-2014,20,8,2014,16910.0293,16979.13086
19-08-2014,19,8,2014,16839.06055,16919.58984
18-08-2014,18,8,2014,16664.44922,16838.74023
15-08-2014,15,8,2014,16717.00977,16662.91016
14-08-2014,14,8,2014,16657.32031,16713.58008
13-08-2014,13,8,2014,16567.53906,16651.80078
12-08-2014,12,8,2014,16565.55078,16560.53906
11-08-2014,11,8,2014,16557.26953,16569.98047
08-08-2014,8,8,2014,16369.67969,16553.92969
07-08-2014,7,8,2014,16448.28906,16368.26953
06-08-2014,6,8,2014,16425.09961,16443.33984
05-08-2014,5,8,2014,16559.9707,16429.4707
04-08-2014,4,8,2014,16493.7207,16569.2793
01-08-2014,1,8,2014,16561.69922,16493.36914
31-07-2014,31,7,2014,16869.63086,16563.30078
30-07-2014,30,7,2014,16920.10938,16880.35938
29-07-2014,29,7,2014,16984.33008,16912.10938
28-07-2014,28,7,2014,16956.91016,16982.58984
25-07-2014,25,7,2014,17079.5,16960.57031
24-07-2014,24,7,2014,17092.01953,17083.80078
23-07-2014,23,7,2014,17117.00977,17086.63086
22-07-2014,22,7,2014,17054.9707,17113.53906
21-07-2014,21,7,2014,17095.10938,17051.73047
18-07-2014,18,7,2014,16978.16016,17100.17969
17-07-2014,17,7,2014,17133.44922,16976.81055
16-07-2014,16,7,2014,17061.91016,17138.19922
15-07-2014,15,7,2014,17055.0293,17060.67969
14-07-2014,14,7,2014,16950.92969,17055.41992
11-07-2014,11,7,2014,16918.31055,16943.81055
10-07-2014,10,7,2014,16980.34961,16915.07031
09-07-2014,9,7,2014,16916.83008,16985.60938
08-07-2014,8,7,2014,17022.08984,16906.61914
07-07-2014,7,7,2014,17063.83008,17024.21094
03-07-2014,3,7,2014,16979,17068.25977
02-07-2014,2,7,2014,16949.71094,16976.24023
01-07-2014,1,7,2014,16828.5293,16956.07031
30-06-2014,30,6,2014,16852.49023,16826.59961
27-06-2014,27,6,2014,16846.90039,16851.83984
26-06-2014,26,6,2014,16866.81055,16846.13086
25-06-2014,25,6,2014,16817.67969,16867.50977
24-06-2014,24,6,2014,16934.61914,16818.13086
23-06-2014,23,6,2014,16946.5,16937.25977
20-06-2014,20,6,2014,16920.61914,16947.08008
19-06-2014,19,6,2014,16909.90039,16921.46094
18-06-2014,18,6,2014,16806.11914,16906.61914
17-06-2014,17,6,2014,16779.21094,16808.49023
16-06-2014,16,6,2014,16765.56055,16781.00977
13-06-2014,13,6,2014,16734.64063,16775.74023
12-06-2014,12,6,2014,16840.48047,16734.18945
11-06-2014,11,6,2014,16943.16016,16843.88086
10-06-2014,10,6,2014,16940.40039,16945.91992
09-06-2014,9,6,2014,16926.08008,16943.09961
06-06-2014,6,6,2014,16839.64063,16924.2793
05-06-2014,5,6,2014,16739.14063,16836.10938
04-06-2014,4,6,2014,16720,16737.5293
03-06-2014,3,6,2014,16736.69922,16722.33984
02-06-2014,2,6,2014,16716.84961,16743.63086
30-05-2014,30,5,2014,16697.33008,16717.16992
29-05-2014,29,5,2014,16637.74023,16698.74023
28-05-2014,28,5,2014,16674.98047,16633.17969
27-05-2014,27,5,2014,16607.41992,16675.5
23-05-2014,23,5,2014,16544.49023,16606.26953
22-05-2014,22,5,2014,16532.74023,16543.08008
21-05-2014,21,5,2014,16376.16992,16533.06055
20-05-2014,20,5,2014,16511.2207,16374.30957
